歌名,歌手,语言和曲风,难度,价格,,,,,,
落,艾辰,古风,简单,,,,,,,
藏,徐梦圆、双笙,古风,简单,,,,,,,
高唐,音阙诗听、王梓钰,古风,中等,,,,,,,
小满,音阙诗听、王梓钰,古风,简单,,,,,,,
田螺,音阙诗听、王梓钰,古风,简单,,,,,,,
沉鱼,音阙诗听、王梓钰、赵方婧,古风,简单,,,,,,,
芒种,音阙诗听、赵方婧,古风,中等,,,,,,,
霜降,音阙诗听、赵方婧,古风,简单,,,,,,,
食色,音阙诗听、林清弄,古风,中等,,,,,,,
说客,音阙诗听、新乐尘符,古风,中等,,,,,,,
赤伶,HITA,古风,困难,30,,,,,,
采薇,HITA,古风,简单,,,,,,,
同簪,小时姑娘/HITA,古风,简单,,,,,,,
爱殇,小时姑娘,古风,超级难,30,,,,,,
风缘,双笙,古风,中等,,,,,,,
月出,双笙,古风,中等,,,,,,,
谓风,双笙、流仙,古风,简单,,,,,,,
海棠,玄觞,古风,简单,,,,,,,
妻书,玄觞,古风,简单,,,,,,,
参商,不才,古风,困难,,,,,,,
拂雪,不才,古风,困难,,,,,,,
谪仙,叶里,古风,简单,,,,,,,
芊芊,回音哥,古风,中等,,,,,,,
遇萤,CRITTY,古风,简单,,,,,,,
谷雨,桑葚上的猴子,古风,困难,,,,,,,
古画,鞠婧祎,古风,简单,,,,,,,
月光,胡彦斌,古风,中等,,,,,,,
故梦,橙翼,古风,简单,,,,,,,
相思,毛阿敏,古风,中等,,,,,,,
大鱼,周深,古风,简单,,,,,,,
铃舟,匀子,古风,困难,,,,,,,
野火,不才、三无Marblue,古风,简单,,,,,,,
社戏,安九,古风,简单,,,,,,,
蜀绣,李宇春,古风,简单,,,,,,,
狐言,河图、洛天依,古风,简单,,,,,,,
迢迢,黄诗扶,古风,困难,,,,,,,
不染,毛不易,古风,困难,,,,,,,
别赋,慕寒,古风,简单,,,,,,,
酒家,小阿七,古风,中等,,,,,,,
天下,张杰,古风,简单,,,,,,,
杯欢,东篱,古风,简单,,,,,,,
齐天,兔裹煎蛋卷,古风,中等,,,,,,,
南柯,司夏,古风,简单,,,,,,,
山鬼,winky诗,古风,简单,,,,,,,
缘起,周深,古风,简单,,,,,,,
云长,赵钶,古风,中等,,,,,,,
风月,黄龄,古风,中等,,,,,,,
皈依,皈依小能手,古风,简单,,,,,,,
愿我,呦猫,古风,困难,,,,,,,
探窗,浮生梦,古风,简单,,,,,,,
赴火,唐九夏,古风,中等,,,,,,,
怎叹,等什么君,古风,简单,,,,,,,
无归,叶里,古风,简单,,,,,,,
发如雪,周杰伦,古风,简单,,,,,,,
兰亭序,周杰伦,古风,简单,,,,,,,
东风破,周杰伦,古风,简单,,,,,,,
菊花台,周杰伦,古风,简单,,,,,,,
青花瓷,周杰伦,古风,简单,,,,,,,
霍元甲,周杰伦,古风,简单,,,,,,,
是风动,银临,古风,中等,,,,,,,
流光记,银临,古风,中等,,,,,,,
不老梦,银临,古风,中等,,,,,,,
眉南边,银临,古风,简单,,,,,,,
锦鲤抄,银临、云の泣,古风,简单,,,,,,,
牵丝戏,银临、Aki阿杰,古风,中等,100,,,,,,
多情岸,洛天依,古风,中等,,,,,,,
三月雨,洛天依,古风,困难,30,,,,,,
易水诀,洛天依,古风,困难,,,,,,,
马步谣,双笙,古风,简单,,,,,,,
葬花吟,双笙,古风,简单,,,,,,,
采茶纪,双笙,古风,简单,,,,,,,
眉间雪,HITA,古风,简单,,,,,,,
白头吟,HITA,古风,简单,,,,,,,
丹青客,HITA、小曲儿,古风,简单,,,,,,,
何以歌,Aki阿杰,古风,中等,,,,,,,
东风志,Aki阿杰,古风,中等,,,,,,,
九万字,黄诗扶,古风,超级难,,,,,,,
孽海记,黄诗扶,古风,困难,30,,,,,,
红叶寺,小爱的妈,古风,中等,,,,,,,
江山雪,小爱的妈,古风,中等,,,,,,,
外婆桥,任然,古风,简单,,,,,,,
对玄机,王梓钰、任然,古风,中等,,,,,,,
红昭愿,音阙诗听、王梓钰,古风,简单,,,,,,,
千百度,许嵩,古风,简单,,,,,,,
庐州月,许嵩,古风,简单,,,,,,,
风筝误,刘珂矣,古风,简单,,,,,,,
半壶纱,刘珂矣,古风,简单,,,,,,,
画中仙,金莎,古风,简单,,,,,,,
芳华慢,封茗囧菌,古风,困难,,,,,,,
广寒宫,丸子呦,古风,中等,30,,,,,,
九张机,叶炫清,古风,中等,,,,,,,
不谓侠,萧忆情,古风,困难,,,,,,,
三月谣,小凌,古风,中等,,,,,,,
叹云兮,鞠婧祎,古风,中等,,,,,,,
小城谣,胡碧乔,古风,简单,,,,,,,
金陵谣,国风堂,古风,简单,,,,,,,
桃花笑,锦零,古风,简单,,,,,,,
霁夜茶,小曲儿,古风,简单,,,,,,,
鱼玄机,兔裹煎蛋卷,古风,简单,,,,,,,
不问天,说说Crystal,古风,困难,100,,,,,,
逍遥叹,胡歌,古风,简单,,,,,,,
沈园外,阿YueYue,古风,困难,,,,,,,
苏幕遮,张晓棠,古风,困难,,,,,,,
皎然记,司夏,古风,简单,,,,,,,
故人叹,吴琼,古风,困难,,,,,,,
梦留别,周深,古风,简单,,,,,,,
小嫦娥,安子与九妹,古风,简单,100,,,,,,
小棋童,不纯君,古风,简单,,,,,,,
故人泪,麦小兜,古风,简单,,,,,,,
繁华梦,黄龄,古风,简单,,,,,,,
花亦山,赵方婧,古风,中等,,,,,,,
天涯过客,周杰伦,古风,简单,,,,,,,
红颜如霜,周杰伦,古风,简单,,,,,,,
红尘客栈,周杰伦,古风,简单,,,,,,,
烟花易冷,周杰伦,古风,简单,,,,,,,
有美人兮,音阙诗听、赵方婧、王梓钰,古风,简单,,,,,,,
木桥小谣,音阙诗听、王梓钰,古风,简单,,,,,,,
夜宴风波,音阙诗听、王梓钰,古风,简单,,,,,,,
落霞云归,慕寒,古风,简单,,,,,,,
人间忽晚,慕寒、排骨教主,古风,简单,,,,,,,
扬州姑娘,双笙,古风,中等,,,,,,,
浮生未歇,双笙,古风,简单,,,,,,,
繁华唱遍,乐正绫,古风,中等,,,,,,,
千里邀月,乐正绫、泠鸢yousa、hanser…,古风,简单,,,,,,,
泸沽寻梦,银临,古风,简单,,,,,,,
棠梨煎雪,银临,古风,简单,,,,,,,
如果当时,许嵩,古风,简单,,,,,,,
惊鸿一面,许嵩、黄龄,古风,简单,,,,,,,
烟雨行舟,伦桑,古风,简单,,,,,,,
天地缓缓,伦桑,古风,简单,,,,,,,
浪人琵琶,胡66,古风,简单,,,,,,,
十三月凉,不才,古风,简单,,,,,,,
晓秋月明,五色石南叶、司夏,古风,困难,,,,,,,
知否知否,郁可唯、胡夏,古风,简单,,,,,,,
天下无双,张靓颖,古风,超级难,,,,,,,
明月天涯,五音JW,古风,简单,,,,,,,
三寸天堂,严艺丹,古风,简单,,,,,,,
探清水河,黄诗扶,古风,中等,30,,,,,,
此生不换,青鸟飞鱼,古风,中等,,,,,,,
红尘轻剑,轩寞sirius,古风,中等,,,,,,,
梅花旧事,玄觞,古风,困难,,,,,,,
松烟入墨,winky诗,古风,简单,,,,,,,
泼墨漓江,泠鸢yousa,古风,简单,,,,,,,
陶然四季,橙翼,古风,简单,,,,,,,
簪花人间,忘川风华录、星尘,古风,简单,,,,,,,
情是何物,周深,古风,中等,30,,,,,,
天命风流,绯村柯北,古风,简单,,,,,,,
狂野想乡,艾辰,古风,简单,,,,,,,
鹿鸣呦呦,锦零,古风,简单,,,,,,,
人间不值得,黄诗扶,古风,困难,100,,,,,,
吹梦到西洲,黄诗扶、妖扬,古风,困难,100,,,,,,
空山新雨后,音阙诗听、锦零,古风,简单,,,,,,,
未见青山老,以冬,古风,简单,,,,,,,
古龙群侠传,河图,古风,简单,,,,,,,
湖光水色调,墨明棋妙,古风,简单,,,,,,,
杏花弦外雨,CRITTY、司夏,古风,简单,,,,,,,
七月七日晴,许慧欣,古风,困难,,,,,,,
神武雨霖铃,阿悄,古风,简单,,,,,,,
神武醉相思,双笙,古风,简单,,,,,,,
吹灭小山河,司南,古风,中等,,,,,,,
刹那芳华曲,小爱的妈,古风,简单,,,,,,,
上里与手抄卷,双笙、闫东炜,古风,简单,,,,,,,
新九九八十一,泠鸢yousa,古风,简单,,,,,,,
杨花落尽子规啼,国风堂,古风,中等,,,,,,,
星河散尽故人来,国风堂,古风,困难,,,,,,,
我与自己唱相守,云の泣,古风,简单,,,,,,,
何日重到苏澜桥,泠鸢yousa,古风,简单,,,,,,,
晚夜微雨问海棠,陈亦洺、喧笑,古风,中等,100,,,,,,
何必诗债换酒钱,Winky诗、流仙…,古风,困难,30,,,,,,
山外小楼夜听雨,任然,古风,简单,,,,,,,
天龙八部之宿敌,许嵩,古风,简单,,,,,,,
我的一个道姑朋友,双笙,古风,困难,30,,,,,,
枫,周杰伦,流行,中等,,,,,,,
你,林依晨,流行,简单,,,,,,,
愿,艾辰,流行,简单,,,,,,,
溯,CORSAK&马吟吟,流行,简单,,,,,,,
鱼,陈绮贞,流行,简单,,,,,,,
鱼,姚贝娜,流行,困难,,,,,,,
循,双笙,流行,简单,,,,,,,
画,邓紫棋,流行,简单,,,,,,,
喂,单依纯,流行,中等,,,,,,,
她,斯琴mia,流行,简单,,,,,,,
默,那英,流行,中等,,,,,,,
彩虹,周杰伦,流行,简单,,,,,,,
花海,周杰伦,流行,简单,,,,,,,
轨迹,周杰伦,流行,简单,,,,,,,
心雨,周杰伦,流行,简单,,,,,,,
暗号,周杰伦,流行,简单,,,,,,,
分裂,周杰伦,流行,简单,,,,,,,
星晴,周杰伦,流行,简单,,,,,,,
安静,周杰伦,流行,简单,,,,,,,
退后,周杰伦,流行,简单,,,,,,,
晴天,周杰伦,流行,中等,,,,,,,
蜗牛,周杰伦,流行,简单,,,,,,,
借口,周杰伦,流行,中等,,,,,,,
瓦解,周杰伦,流行,简单,,,,,,,
夜曲,周杰伦,流行,简单,,,,,,,
稻香,周杰伦,流行,简单,,,,,,,
搁浅,周杰伦,流行,困难,30,,,,,,
画沙,周杰伦、袁咏琳,流行,简单,,,,,,,
傻笑,周杰伦、袁咏琳,流行,简单,,,,,,,
不该,周杰伦、张惠妹,流行,困难,,,,,,,
屋顶,周杰伦、温岚,流行,简单,,,,,,,
暖暖,梁静茹,流行,简单,,,,,,,
宁夏,梁静茹,流行,简单,,,,,,,
亲亲,梁静茹,流行,中等,,,,,,,
情歌,梁静茹,流行,困难,,,,,,,
丝路,梁静茹,流行,困难,,,,,,,
崇拜,梁静茹,流行,困难,,,,,,,
勇气,梁静茹,流行,简单,,,,,,,
接受,梁静茹,流行,简单,,,,,,,
慢冷,梁静茹,流行,中等,,,,,,,
属于,梁静茹,流行,简单,,,,,,,
浪费,林宥嘉,流行,中等,,,,,,,
心酸,林宥嘉,流行,简单,,,,,,,
说谎,林宥嘉,流行,简单,,,,,,,
兜圈,林宥嘉,流行,简单,,,,,,,
傻子,林宥嘉,流行,简单,,,,,,,
凉城,任然,流行,简单,,,,,,,
雀跃,任然,流行,简单,,,,,,,
刚好,任然,流行,简单,,,,,,,
那年,任然,流行,简单,,,,,,,
飞机,任然,流行,简单,,,,,,,
绿光,孙燕姿,流行,简单,,,,,,,
飘着,孙燕姿,流行,困难,,,,,,,
遇见,孙燕姿,流行,简单,,,,,,,
逆光,孙燕姿,流行,困难,,,,,,,
雨天,孙燕姿,流行,简单,,,,,,,
原点,孙燕姿、蔡健雅,流行,简单,,,,,,,
仰望,杨丞琳,流行,中等,,,,,,,
左边,杨丞琳,流行,困难,,,,,,,
雨爱,杨丞琳,流行,困难,30,,,,,,
暗涌,杨丞琳,流行,简单,,,,,,,
点水,杨丞琳,流行,简单,,,,,,,
星空,五月天,流行,中等,,,,,,,
干杯,五月天,流行,简单,,,,,,,
知足,五月天,流行,简单,,,,,,,
步步,五月天,流行,中等,,,,,,,
人质,张惠妹,流行,简单,,,,,,,
听海,张惠妹,流行,困难,,,,,,,
掉了,张惠妹,流行,困难,,,,,,,
身后,张惠妹,流行,困难,30,,,,,,
记得,张惠妹/林俊杰,流行,中等,,,,,,,
她说,林俊杰,流行,简单,,,,,,,
当你,林俊杰,流行,简单,,,,,,,
生生,林俊杰,流行,困难,,,,,,,
再见,邓紫棋,流行,困难,,,,,,,
倒数,邓紫棋,流行,困难,,,,,,,
泡沫,邓紫棋,流行,困难,30,,,,,,
流沙,陶喆,流行,简单,,,,,,,
天天（2003）,陶喆,流行,简单,,,,,,,
沙滩,陶喆,流行,简单,,,,,,,
爱你,王心凌,流行,简单,,,,,,,
月光,王心凌,流行,简单,,,,,,,
大眠,王心凌,流行,简单,,,,,,,
矜持,王菲,流行,简单,,,,,,,
红豆,王菲,流行,简单,,,,,,,
旋木,王菲,流行,简单,,,,,,,
戒烟,李荣浩,流行,简单,,,,,,,
耳朵,李荣浩,流行,简单,,,,,,,
老伴,李荣浩,流行,简单,,,,,,,
尽头,音阙诗听、赵方婧,流行,简单,,,,,,,
破裂,音阙诗听、王梓钰,流行,简单,,,,,,,
聊天,郭静,流行,简单,,,,,,,
心墙,郭静,流行,简单,,,,,,,
如燕,Olivia Ong,流行,简单,,,,,,,
守望,Olivia Ong,流行,简单,,,,,,,
命运,家家,流行,中等,,,,,,,
尘埃,家家,流行,中等,,,,,,,
成全,刘若英,流行,简单,,,,,,,
后来,刘若英,流行,简单,,,,,,,
乌鸦,许嵩,流行,中等,,,,,,,
温泉,许嵩、刘美麟,流行,简单,,,,,,,
骑士,黄龄,流行,简单,,,,,,,
恰好,黄龄,流行,中等,,,,,,,
深海,张学友,流行,中等,,,,,,,
慢慢,张学友,流行,困难,,,,,,,
鸽子,徐秉龙,流行,简单,,,,,,,
青柠,徐秉龙、桃十五,流行,简单,,,,,,,
银河,汪苏泷,流行,简单,,,,,,,
年轮,汪苏泷,流行,简单,,,,,,,
朝汐,双笙、泠鸢yousa,流行,困难,,,,,,,
纯白,双笙、V.K克,流行,困难,,,,,,,
拆穿,黄绮珊,流行,困难,,,,,,,
坦诉,黄绮珊,流行,困难,,,,,,,
空心,光泽,流行,困难,30,,,,,,
中毒,光泽,流行,简单,,,,,,,
走马,陈粒,流行,简单,,,,,,,
小半,陈粒,流行,中等,,,,,,,
停格,蔡健雅,流行,简单,,,,,,,
重来,蔡健雅,流行,简单,,,,,,,
天后,陈势安,流行,中等,,,,,,,
像鱼,王贰浪,流行,简单,,,,,,,
爱你,陈芳语,流行,中等,,,,,,,
遇到,方雅贤,流行,简单,,,,,,,
房间,刘瑞琦,流行,简单,,,,,,,
淘汰,陈奕迅,流行,简单,,,,,,,
野子,苏运莹,流行,困难,30,,,,,,
烟火,陈绮贞,流行,中等,,,,,,,
断点,张敬轩,流行,简单,,,,,,,
侧脸,于果,流行,中等,,,,,,,
倒带,蔡依林,流行,中等,,,,,,,
画心,张靓颖,流行,困难,,,,,,,
体面,于文文,流行,简单,,,,,,,
勇气,棉子,流行,简单,,,,,,,
离歌,信乐团,流行,困难,100,,,,,,
姗姗,金玟岐,流行,简单,,,,,,,
偏见,梁咏琪,流行,简单,,,,,,,
太阳,邱振哲,流行,中等,,,,,,,
记念,雷雨心,流行,中等,,,,,,,
宝贝,张悬,流行,简单,,,,,,,
嚣张,En,流行,简单,,,,,,,
晚婚,江蕙,流行,简单,,,,,,,
冬眠,司南,流行,简单,,,,,,,
男孩,梁博,流行,简单,,,,,,,
月球,银临,流行,简单,,,,,,,
鱼仔,卢广仲,流行,中等,,,,,,,
气球,许哲珮,流行,简单,,,,,,,
撒野,凯瑟喵,流行,中等,,,,,,,
也罢,鲁向卉,流行,简单,,,,,,,
阴天,莫文蔚,流行,简单,,,,,,,
小小,容祖儿,流行,中等,30,,,,,,
左耳,赵薇,流行,简单,,,,,,,
洋葱,丁当,流行,困难,,,,,,,
不枉,汪小敏,流行,中等,,,,,,,
蠢货,喻言,流行,简单,,,,,,,
心跳,王力宏,流行,简单,,,,,,,
够爱,东城卫,流行,中等,,,,,,,
嘉宾,张远,流行,中等,100,,,,,,
保留,郭顶,流行,困难,,,,,,,
如此,单依纯,流行,困难,,,,,,,
小宇,蓝心羽,流行,简单,,,,,,,
致你,yihuik苡慧,流行,简单,,,,,,,
靠近,罗震环,流行,中等,,,,,,,
礼物,刘力扬,流行,困难,100,,,,,,
天涯,任贤齐,流行,简单,,,,,,,
看淡,田馥甄,流行,简单,,,,,,,
迫降,张伊美Lyla,流行,困难,,,,,,,
讨厌,Fine乐团,流行,困难,,,,,,,
落空,印子月,流行,简单,,,,,,,
告白,王欣宇,流行,简单,,,,,,,
夏天,李玖哲,流行,简单,,,,,,,
大吉,洛天依,流行,简单,,,,,,,
夜车,曾轶可,流行,简单,,,,,,,
原谅,张玉华,流行,简单,,,,,,,
大火,李佳薇,流行,困难,,,,,,,
不舍,徐佳莹,流行,中等,,,,,,,
离人,林志炫,流行,简单,,,,,,,
唯一,告五人,流行,简单,,,,,,,
无赖,戴佩妮,流行,简单,,,,,,,
借我,谢春花,流行,简单,,,,,,,
表白,周星星,流行,简单,,,,,,,
梦返,黄霄云,流行,中等,,,,,,,
叶子,阿桑,流行,简单,,,,,,,
茶汤,郁可唯,流行,中等,,,,,,,
如烟,艾怡良,流行,简单,,,,,,,
七里香,周杰伦,流行,简单,,,,,,,
园游会,周杰伦,流行,简单,,,,,,,
甜甜的,周杰伦,流行,简单,,,,,,,
我不配,周杰伦,流行,简单,,,,,,,
公主病,周杰伦,流行,简单,,,,,,,
一点点,周杰伦,流行,中等,,,,,,,
美人鱼,周杰伦,流行,简单,,,,,,,
简单爱,周杰伦,流行,简单,,,,,,,
明明就,周杰伦,流行,简单,,,,,,,
你好吗,周杰伦,流行,中等,,,,,,,
时光机,周杰伦,流行,简单,,,,,,,
迷迭香,周杰伦,流行,简单,,,,,,,
大笨钟,周杰伦,流行,简单,,,,,,,
对不起,周杰伦,流行,简单,,,,,,,
跨时代,周杰伦,流行,简单,,,,,,,
龙卷风,周杰伦,流行,中等,,,,,,,
麦芽糖,周杰伦,流行,简单,,,,,,,
怎么了,周杰伦、袁咏琳,流行,简单,,,,,,,
珊瑚海,周杰伦、梁心颐,流行,困难,,,,,,,
刀马旦,周杰伦、李玟,流行,中等,,,,,,,
牡丹江,南拳妈妈,流行,简单,,,,,,,
下雨天,南拳妈妈,流行,简单,,,,,,,
学不会,林俊杰,流行,中等,,,,,,,
期待爱,林俊杰,流行,简单,,,,,,,
关键词,林俊杰,流行,简单,,,,,,,
美人鱼,林俊杰,流行,简单,,,,,,,
愿与愁,林俊杰,流行,简单,,,,,,,
小酒窝,林俊杰、蔡卓妍,流行,简单,,,,,,,
三人游,方大同,流行,简单,,,,,,,
麦恩莉,方大同,流行,简单,,,,,,,
爱爱爱,方大同,流行,简单,,,,,,,
春风吹,方大同,流行,简单,,,,,,,
第一天,孙燕姿,流行,中等,,,,,,,
天黑黑,孙燕姿,流行,简单,,,,,,,
克卜勒,孙燕姿,流行,简单,,,,,,,
达尔文,蔡健雅,流行,简单,,,,,,,
无底洞,蔡健雅,流行,简单,,,,,,,
空白格,蔡健雅,流行,简单,,,,,,,
凄美地,郭顶,流行,困难,,,,,,,
水星记,郭顶,流行,简单,,,,,,,
我们俩,郭顶,流行,简单,,,,,,,
年轮说,杨丞琳,流行,简单,,,,,,,
带我走,杨丞琳,流行,中等,,,,,,,
起风了,吴青峰,流行,简单,,,,,,,
小情歌,吴青峰,流行,简单,,,,,,,
圣诞结,陈奕迅,流行,简单,,,,,,,
红玫瑰,陈奕迅,流行,中等,,,,,,,
海海海,阿悄,流行,简单,,,,,,,
在深秋,阿悄,流行,简单,,,,,,,
说爱你,蔡依林,流行,简单,,,,,,,
他不懂,张杰,流行,简单,,,,,,,
讲真的,曾惜,流行,简单,,,,,,,
喜欢你,陈洁仪,流行,简单,,,,,,,
猪之歌,香香,流行,简单,100,,,,,,
我知道,by2,流行,简单,,,,,,,
虫儿飞,郑伊健,流行,简单,,,,,,,
樱花草,Sweety,流行,简单,,,,,,,
静悄悄,大泫,流行,简单,,,,,,,
恶作剧,王蓝茵,流行,简单,,,,,,,
干物女,洛天依、乐正绫,流行,简单,,,,,,,
坏女孩,徐良、小凌,流行,简单,,,,,,,
安和桥,宋东野,流行,简单,,,,,,,
猜不透,丁当,流行,中等,,,,,,,
从前慢,叶炫清,流行,中等,,,,,,,
棉花糖,至上励合,流行,简单,,,,,,,
三国恋,Tank,流行,困难,,,,,,,
小幸运,田馥甄,流行,中等,,,,,,,
月牙湾,F.I.R. 飞儿乐团,流行,中等,,,,,,,
阳台上,郁可唯,流行,中等,,,,,,,
小永远,何洁,流行,中等,,,,,,,
童话镇,暗杠,流行,简单,,,,,,,
想自由,林宥嘉,流行,中等,,,,,,,
杀破狼,JS,流行,中等,,,,,,,
热气球,黄淑惠,流行,简单,,,,,,,
苏州河,薛凯琪,流行,简单,,,,,,,
好想你,朱主爱,流行,简单,,,,,,,
错的人,萧亚轩,流行,中等,,,,,,,
疑心病,任然,流行,简单,,,,,,,
半情歌,元若兰,流行,简单,,,,,,,
第一次,光良,流行,简单,,,,,,,
同花顺,林倛玉,流行,简单,,,,,,,
都不懂,yihuik苡慧,流行,简单,,,,,,,
醉清风,弦子,流行,简单,,,,,,,
云与海,阿YueYue,流行,中等,,,,,,,
梦回还,呦猫,流行,困难,,,,,,,
浪漫爱,江语晨,流行,简单,,,,,,,
海芋恋,萧敬腾,流行,简单,,,,,,,
好一点,小蓝背心,流行,简单,,,,,,,
萱草花,张小斐,流行,简单,,,,,,,
秋意浓,张学友,流行,简单,,,,,,,
能不能,吴映香,流行,简单,,,,,,,
朗读者,赵方婧,流行,简单,,,,,,,
安静了,SHE,流行,简单,,,,,,,
若把你,刘瑾睿,流行,简单,,,,,,,
黄昏晓,王心凌,流行,简单,,,,,,,
夜航星,不才,流行,中等,,,,,,,
舍离断,苏诗丁,流行,困难,100,,,,,,
梦里花,张韶涵,流行,中等,,,,,,,
小模样,张小只ya,流行,简单,,,,,,,
太聪明,陈绮贞,流行,简单,,,,,,,
